,Unnamed: 0,post_id,date,year,price,beds,baths,sqft,room_in_apt,address,lat,lon
count,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0,1534.0
mean,766.5,5060084178.257497,20150526.53715776,2014.9928292046936,3035.2737940026077,2.014993481095176,1.5055410691003912,1190.6016949152543,0.00847457627118644,1527.8435462842242,37.6344364041721,-122.14983504889179
std,442.9719705203329,517697766.4842998,11357.57189223419,1.1639623268269579,1896.7700201824232,1.1337942205689007,0.6849433251858613,676.1566484180981,0.09169645074505214,794.9517236635902,0.3208002140885913,0.25269627715724435
min,0.0,4264238614.0,20140102.0,2014.0,795.0,0.0,1.0,117.0,0.0,2.0,36.91205,-123.0197
25%,383.25,4700186369.75,20141012.0,2014.0,2000.0,1.0,1.0,783.25,0.0,885.75,37.35768025,-122.3676
50%,766.5,4855518670.5,20150120.0,2015.0,2647.0,2.0,1.0,1017.5,0.0,1554.5,37.5838875,-122.0757325
75%,1149.75,5088664137.25,20150623.0,2015.0,3415.5,3.0,2.0,1412.0,0.0,2154.5,37.7965455,-121.94517825
max,1533.0,6480286370.0,20180201.0,2018.0,24000.0,7.0,5.0,7900.0,1.0,2795.0,39.07109,-121.211987
